Time,Altitude
8:00:00,0
8:00:15,250
8:00:30,500
8:00:45,750
8:01:00,1000
8:01:15,1250
8:01:30,1500
8:01:45,1750
8:02:00,2000
8:02:15,2250
8:02:30,2500
8:02:45,2750
8:03:00,3000
8:03:15,3250
8:03:30,3500
8:03:45,3750
8:04:00,4000
8:04:15,4250
8:04:30,4500
8:04:45,4750
8:05:00,5000
8:05:15,5250
8:05:30,5500
8:05:45,5750
8:06:00,6000
8:06:15,6250
8:06:30,6500
8:06:45,6750
8:07:00,7000
8:07:15,7250
8:07:30,7500
8:07:45,7750
8:08:00,8000
8:08:15,8250
8:08:30,8500
8:08:45,8750
8:09:00,9000
8:09:15,9250
8:09:30,9500
8:09:45,9750
8:10:00,10000
8:10:15,10250
8:10:30,10500
8:10:45,10750
8:11:00,11000
8:11:15,11250
8:11:30,11500
8:11:45,11750
8:12:00,12000
8:12:15,12250
8:12:30,12500
8:12:45,12750
8:13:00,13000
8:13:15,13250
8:13:30,13500
8:13:45,13750
8:14:00,14000
8:14:15,14250
8:14:30,14500
8:14:45,14750
8:15:00,15000
8:15:15,15250
8:15:30,15500
8:15:45,15750
8:16:00,16000
8:16:15,16250
8:16:30,16500
8:16:45,16750
8:17:00,17000
8:17:15,17250
8:17:30,17500
8:17:45,17750
8:18:00,18000
8:18:15,18250
8:18:30,18500
8:18:45,18750
8:19:00,19000
8:19:15,19250
8:19:30,19500
8:19:45,19750
8:20:00,20000
8:20:15,20250
8:20:30,20500
8:20:45,20750
8:21:00,21000
8:21:15,21250
8:21:30,21500
8:21:45,21750
8:22:00,22000
8:22:15,22250
8:22:30,22500
8:22:45,22750
8:23:00,23000
8:23:15,23250
8:23:30,23500
8:23:45,23750
8:24:00,24000
8:24:15,24250
8:24:30,24500
8:24:45,24750
8:25:00,25000
8:25:15,25250
8:25:30,25500
8:25:45,25750
8:26:00,26000
8:26:15,26250
8:26:30,26500
8:26:45,26750
8:27:00,27000
8:27:15,27250
8:27:30,27500
8:27:45,27750
8:28:00,28000
8:28:15,28250
8:28:30,28500
8:28:45,28750
8:29:00,29000
8:29:15,29250
8:29:30,29500
8:29:45,29750
8:30:00,30000
8:30:15,30250
8:30:30,30500
8:30:45,30750
8:31:00,31000
8:31:15,31250
8:31:30,31500
8:31:45,31750
8:32:00,32000
8:32:15,31738.85
8:32:30,31477.7
8:32:45,31216.55
8:33:00,30955.4
8:33:15,30694.25
8:33:30,30433.1
8:33:45,30171.95
8:34:00,29910.8
8:34:15,29649.65
8:34:30,29388.5
8:34:45,29127.35
8:35:00,28866.2
8:35:15,28605.05
8:35:30,28343.9
8:35:45,28082.75
8:36:00,27821.6
8:36:15,27560.45
8:36:30,27299.3
8:36:45,27038.15
8:37:00,26777
8:37:15,26515.85
8:37:30,26254.7
8:37:45,25993.55
8:38:00,25732.4
8:38:15,25471.25
8:38:30,25210.1
8:38:45,24948.95
8:39:00,24687.8
8:39:15,24426.65
8:39:30,24165.5
8:39:45,23904.35
8:40:00,23643.2
8:40:15,23382.05
8:40:30,23120.9
8:40:45,22859.75
8:41:00,22598.6
8:41:15,22337.45
8:41:30,22076.3
8:41:45,21815.15
8:42:00,21554
8:42:15,21292.85
8:42:30,21031.7
8:42:45,20770.55
8:43:00,20509.4
8:43:15,20248.25
8:43:30,19987.1
8:43:45,19725.95
8:44:00,19464.8
8:44:15,19203.65
8:44:30,18942.5
8:44:45,18681.35
8:45:00,18420.2
8:45:15,18159.05
8:45:30,17897.9
8:45:45,17636.75
8:46:00,17375.6
8:46:15,17114.45
8:46:30,16853.3
8:46:45,16592.15
8:47:00,16331
8:47:15,16069.85
8:47:30,15808.7
8:47:45,15547.55
8:48:00,15286.4
8:48:15,15025.25
8:48:30,14764.1
8:48:45,14502.95
8:49:00,14241.8
8:49:15,13980.65
8:49:30,13719.5
8:49:45,13458.35
8:50:00,13197.2
8:50:15,12936.05
8:50:30,12674.9
8:50:45,12413.75
8:51:00,12152.6
8:51:15,11891.45
8:51:30,11630.3
8:51:45,11369.15
8:52:00,11108
8:52:15,10846.85
8:52:30,10585.7
8:52:45,10324.55
8:53:00,10063.4
8:53:15,9802.25
8:53:30,9541.1
8:53:45,9279.95
8:54:00,9018.8
8:54:15,8757.65
8:54:30,8496.5
8:54:45,8235.35
8:55:00,7974.2
8:55:15,7713.05
8:55:30,7451.9
8:55:45,7190.75
8:56:00,6929.6
8:56:15,6668.45
8:56:30,6407.3
8:56:45,6146.15
8:57:00,5885
8:57:15,5623.85
8:57:30,5362.7
8:57:45,5101.55
8:58:00,4840.4
8:58:15,4579.25
8:58:30,4318.1
8:58:45,4056.95
8:59:00,3795.8
8:59:15,3534.65
8:59:30,3273.5
8:59:45,3012.35
9:00:00,2751.2
9:00:15,2490.05
9:00:30,2228.9
9:00:45,1967.75
9:01:00,1706.6
9:01:15,1445.45
9:01:30,1184.3
9:01:45,923.15
9:02:00,662
9:02:15,400.85
9:02:30,139.7
9:02:45,0
